"OriginalEnglish","Translation","Locations"
"In Microsoft Teams, channels are where you hold meetings, have conversations, and work on files together. Learn how to create a public or private channel, pin a channel, add a tab, share a file, meet now, show and hide channels, customize channel notifications, reply to a message, like or save a message, use @mention, collaborate on or co-edit a file, start a conversation, send email to a channel, and create a plan with Planner.","V Microsoft Teams jsou kanály místem, kde pořádáte schůzky, konverzujete a pracujete na souborech společně. Přečtěte si, jak vytvořit veřejný nebo soukromý kanál, připnout kanál, přidat kartu, sdílet soubor, setkat se teď, zobrazit a skrýt kanály, přizpůsobit oznámení kanálu, odpovědět na zprávu, jako je zpráva, nebo ji uložit, použít @mention, spolupracovat na souboru nebo ho spoluautovat, zahájit konverzaci, odeslat e-mail kanálu a vytvořit plán s Plannerem.",
"Learn how to create and format a post or announcement to start a conversation in a channel.","Přečtěte si, jak vytvořit a naformátovat příspěvek nebo oznámení pro zahájení konverzace v kanálu.",
"Learn how to upload and share files in Microsoft Teams. Also learn how to find and filter files.","Přečtěte si, jak nahrávat a sdílet soubory v Microsoft Teams. Přečtěte si také, jak najít a filtrovat soubory.",
"Teams live events enables you to produce events for large online audiences with more control over video, audience interaction, and reporting","Živé události Teams umožňují vytvářet události pro velké online publikum s větší kontrolou nad videem, interakcí s publikem a reportování",
"View, schedule, and manage appointments and meetings in Microsoft Teams to keep your team on track.","Zobrazujte, naplánujte a spravujte schůzky a schůzky v Microsoft Teams, abyste udrželi svůj tým v souladu.",
"Manage your activity feed and know everything that's happening in the team channels you follow.","Spravujte svůj kanál aktivit a řidíte vše, co se děje v týmových kanálech, které sledujete.",
"Start a 1:1 or group chat in the Microsoft Teams mobile app to talk privately or collaborate with a smaller group. Create a channel, join a meeting, use your activity feed, or manage notifications on the go,","Začněte v mobilní aplikaci Microsoft Teams chatovat v měřítku 1:1 nebo skupinový chat a můžete si soukromě promluvit nebo spolupracovat s menší skupinou. Vytvořte kanál, připojte se ke schůzce, použijte informační kanál o aktivitách nebo spravujte oznámení na cestách,",
"Shifts in Microsoft Teams is a schedule management tool. Learn how to use Shifts to create, update, and manage schedules for your team.","Směny v Microsoft Teams je nástroj pro správu plánů. Přečtěte si, jak pomocí shiftů vytvářet, aktualizovat a spravovat plány pro svůj tým.",
"Learn how to use the Walkie Talkie Teams app to turn your work phone into a simple and secure instant voice communication device, how to use the Tasks app in Teams, and how to communicate and recognize your Firstline team with Praise.","Přečtěte si, jak pomocí aplikace Vysílačky Teams proměnit svůj pracovní telefon v jednoduché a bezpečné zařízení pro okamžitou hlasovou komunikaci, jak používat aplikaci Úkoly v Teams a jak komunikovat a rozpoznat svůj tým Firstline s chválou.",
"Approvals in Microsoft Teams is a way to streamline all of your requests and processes with your team or partners. Learn how to create new approvals, view the ones sent your way, and see all of your previous approvals in one place.","Schvalování v Microsoft Teams je způsob, jak zefektivnit všechny vaše požadavky a procesy s týmem nebo partnery. Přečtěte si, jak vytvořit nová schválení, zobrazit ta, která vám byla zaslána, a zobrazit všechna předchozí schválení na jednom místě.",
"Office.com is the best place to start, whether it's the start of the day or you're getting back to your work.","Office.com je nejlepší místo, kde začít, ať už je to začátek dne nebo se vracíte ke své práci.",
"Outlook on the web makes it simple to keep your email, calendar, and contacts right at your fingertips. Here are a few of the great features to use. Send messages and share files to collaborate with others.","Outlook na webu usnadňuje, aby váš e-mail, kalendář a kontakty byly na dosah ruky. Zde je několik skvělých funkcí, které můžete použít. Odesílání zpráv a sdílení souborů za spolupráce s ostatními.",
"With Word for the web, create documents, add text, images, and art, and share your file to work with others — no matter where you are.","Ve Wordu pro web můžete vytvářet dokumenty, přidávat text, obrázky a obrázky a sdílet soubor tak, aby fungoval s ostatními – bez ohledu na to, kde se na webu ses nachátá.",
"Excel for the web gives you the power of Excel on any device, from almost anywhere.","Excel pro web vám dává sílu Excelu na jakémkoli zařízení, téměř odkudkoli.",
"PowerPoint for the web gives you the ability to create, edit, and present presentations on any device, from almost anywhere.","PowerPoint pro web umožňuje vytvářet, upravovat a prezentovat prezentace na libovolném zařízení téměř odkudkoli.",
"Wherever you're working in Office 365, it's simple to share your documents.","Ať už v Office 365 pracujete kdekoli, sdílení dokumentů je jednoduché.",
"Get started quickly with the OneDrive Quick Start guide. Learn how to upload files and folders, use OneDrive in your browser or on your desktop, save and open files in your Office apps, create a file or folder, manage files and folders, search for files, back up files, share files, manage access and permissions, stop sharing, copy links, change views, collaborate in OneDrive, set up your mobile apps, and work on the go with the OneDrive app on your mobile device.","Začněte rychle s průvodcem rychlým startem na OneDrivu. Přečtěte si, jak nahrávat soubory a složky, používat OneDrive v prohlížeči nebo na ploše, ukládat a otevírat soubory v aplikacích Office, vytvářet soubory nebo složky, spravovat soubory a složky, vyhledávat soubory, zálohovat soubory, sdílet soubory, spravovat přístup a oprávnění, přestat sdílet, kopírovat odkazy, měnit zobrazení, spolupracovat na OneDrivu, nastavovat mobilní aplikace,  a pracujte na cestách s aplikací OneDrive na mobilním zařízení.",
"Learn about OneDrive, OneDrive basics, and set up OneDrive","Přečtěte si o OneDrivu, základech OneDrivu a nastavení OneDrivu",
"Access files and folders anywhere with OneDrive","Přístup k souborům a složkám kdekoli na OneDrivu",
"Use OneDrive to share files, control viewing and editing, and work together at the same time","Sdílení souborů, řízení zobrazení a úprav a spolupráci na OneDrivu",
"Learn how to create a Notebook in OneNote","Přečtěte si, jak vytvořit poznámkový blok ve OneNotu",
"With OneNote, you can type notes or record audio, sketch or write ideas, add a picture, find notes, organize pages into sections and sections into notebooks, and share notebooks to view and contribute together. Watch this Intro to OneNote overview video and then learn how to sign in, add a new page or section, rename a page or section, open a different notebook, and customize OneNote.","Pomocí OneNotu můžete psát poznámky nebo nahrávat zvuk, skicovat nebo psát nápady, přidávat obrázek, vyhledávat poznámky, organizovat stránky do oddílů a oddílů do poznámkových bloků a sdílet poznámkové bloky, abyste je mohli zobrazit a přispět společně. Podívejte se na toto video s přehledem Úvod do OneNotu a zjistěte, jak se přihlásit, přidat novou stránku nebo oddíl, přejmenovat stránku nebo oddíl, otevřít jiný poznámkový blok a přizpůsobit OneNote.",
"Take notes the way you want, insert pictures and files, and create more room in your notebook.","Pořizujte si poznámky podle svých vlastních inkas, vkládejte obrázky a soubory a vytvořte v poznámkovém bloku více místa.",
"Format notes, pages, and tables to make them look the way you want","Formátování poznámek, stránek a tabulek tak, aby vypadaly tak, jak chcete",
"Draw or sketch in OneNote to bring your notes to life","Kreslení nebo skicování ve OneNotu, aby vaše poznámky ožicha",
"To stay organized with OneNote, learn how to search for notes, narrow the search, and organize your notebooks. See how to show navigation panes, move a page from one section to another, copy a page to another section or notebook, and move or copy a section.","Pokud chcete zůstat uspořádaní s OneNotem, přečtěte si, jak vyhledávat poznámky, zúžit hledání a uspořádat poznámkové bloky. Podívejte se, jak zobrazit navigační podokna, přesunout stránku z jednoho oddílu do druhého, zkopírovat stránku do jiného oddílu nebo poznámkového bloku a přesunout nebo zkopírovat oddíl.",
"Share your notes with others, and password protect private notes","Sdílení poznámek s ostatními a ochrana soukromých poznámek heslem",
"Use OneNote on iOS, Android, and online so you can connect to and work with your notes no matter where you are","Používání OneNotu v iOS, Androidu a online, abyste se mohli připojit k poznámkám a pracovat s nimi bez ohledu na to, kde se právě nachytáte",
"Get started quickly with the Outlook Quick Start guide. Learn how to add an email account, create and send email, use @mentions, show Focused inbox, manage your calendar and contacts, schedule an appointment using Scheduling Assistant, add a contact, collaborate in Outlook, share a file, set up an online meeting and shared notes, and set up your mobile apps.","Začněte rychle s průvodcem rychlým startem Outlooku. Přečtěte si, jak přidat e-mailový účet, vytvořit a odeslat e-mail, používat @mentions, zobrazovat cílenou doručenou poštu, spravovat kalendář a kontakty, naplánovat schůzku pomocí Pomocníka pro plánování, přidat kontakt, spolupracovat v Outlooku, sdílet soubor, nastavit online schůzku a sdílené poznámky a nastavit mobilní aplikace.",
"Need to set up and customize Outlook? Learn how Outlook can help you organize your email, manage and share your calendar, share files, stay connected, and add an outlook.com account, Microsoft 365 email account, or Gmail account.","Potřebujete nastavit a přizpůsobit Outlook? Přečtěte si, jak vám Outlook může pomoct uspořádat e-mail, spravovat a sdílet kalendář, sdílet soubory, zůstat ve spojení a přidat účet outlook.com, e-mailový účet Microsoftu 365 nebo účet Gmail.",
"Discover your Microsoft Outlook inbox","Zjišťování doručené pošty Aplikace Microsoft Outlook",
"Set up automatic replies for when you are out-of-office","Nastavení automatických odpovědí mimo kancelář",
"Learn tips to organize your inbox. Learn how to set a Follow Up flag, view or remove Follow Up flags, set a reminder, find an Action Item, create color categories, assign a color category to an email message, create a folder, move messages into a folder, add a folder to Favorites, or create a rule.","Přečtěte si tipy pro uspořádání doručené pošty. Přečtěte si, jak nastavit příznak Sledování, zobrazit nebo odebrat příznaky Sledování, nastavit připomenutí, najít položku akce, vytvořit barevné kategorie, přiřadit barevnou kategorii k e-mailové zprávě, vytvořit složku, přesunout zprávy do složky, přidat složku do oblíbených položek nebo vytvořit pravidlo.",
"Add a contact, create a contact group, import and export contacts, or create tasks or a to-do list.","Přidejte kontakt, vytvořte skupinu kontaktů, importujte a exportujte kontakty nebo vytvořte úkoly nebo seznam úkolů.",
"Create appointments and meetings, share your calendar or search for calendar items.","Vytvářejí události a schůzky, sdílejí kalendář nebo vyhledává položky kalendáře.",
"Manage your inbox and learn how to RSVP to invites instantly, swipe right to manage your inbox, create focused inbox, and use Android widgets.","Spravujte svou doručenou poštu a naučte se, jak okamžitě rsvpovat pozvánky, přejetím doprava spravovat doručenou poštu, vytvářet cílené doručené pošty a používat widgety Android.",
"Outlook mobile helps you find a time when everyone is available for a meeting.","Outlook Mobile vám pomůže najít čas, kdy budou všichni k dispozici pro schůzku.",
"Outlook Mobile makes it easy to find contacts and learn more about them.","Outlook Mobile usnadňuje hledání kontaktů a další informace o nich.",
"Microsoft Search in Outlook mobile finds what you need fast. Effortlessly get to your top contacts, calendar events and files with improved email search.","Microsoft Search v Outlooku Mobile rychle najde to, co potřebujete. Díky vylepšenému vyhledávání e-mailů se snadno dostanete ke svým nejlepším kontaktům, událostem kalendáře a souborům.",
"Discover Planner - manage tasks and get updates","Objevte Plánovač – spravujte úkoly a získejte aktualizace",
"Use Planner to plan an event, publish content, and track a process","Plánování události, publikování obsahu a sledování procesu pomocí Plánovače",
"Manage tasks, create plans, and schedules","Správa úkolů, vytváření plánů a plánů",
"Create presentations with PowerPoint","Vytváření prezentací pomocí PowerPointu",
"Create a presentation from scratch, or from a theme with built-in graphics, fonts, and placeholders for your text, images, and content","Vytvoření prezentace od začátku nebo z motivu s integrovanou grafikou, písmy a zasouvátlymi symboly pro text, obrázky a obsah",
"Learn how to design, edit, and organize your slides with SlideMaster.","Přečtěte si, jak navrhovat, upravovat a organizovat snímky pomocí SlideMasteru.",
"Want to learn about text and tables with PowerPoint? Learn how to insert WordArt, add a hyperlink to a slide, create a PowerPoint presentation from an outline, check spelling in your presentation, create and format a table, insert a linked Excel chart, add slide numbers, date and time, and set the text direction and position in a shape or text box.","Chcete se dozvědět více o textu a tabulkách pomocí PowerPointu? Přečtěte si, jak vložit WordArt, přidat hypertextový odkaz na snímek, vytvořit powerpointovou prezentaci z osnovy, zkontrolovat pravopis v prezentaci, vytvořit a formátovat tabulku, vložit propojený excelový graf, přidat čísla snímků, datum a čas a nastavit směr a umístění textu v obrazci nebo textovém poli.",
"With PowerPoint, you can insert pictures, photos, clip art, or other images to your slide show from your computer or from the Internet.","Pomocí aplikace PowerPoint můžete do prezentace vkládat obrázky, fotografie, kliparty nebo jiné obrázky z počítače nebo z Internetu.",
"Learn how to present slideshows, add speaker notes, record and print a slideshow, and create a self-running presentation.","Přečtěte si, jak prezentovat prezentace, přidávat poznámky lektora, nahrávat a tisknout prezentaci a vytvářet samoběhlou prezentaci.",
"Learn how to add, change, or remove transitions between slides, Animate texts or objects, insert or link to a video and add or delete audio","Přečtěte si, jak přidat, změnit nebo odebrat přechody mezi snímky, animovat texty nebo objekty, vložit nebo propojit video a přidat nebo odstranit zvuk",
"Share and co-author a presentation, use comments, inspect a presentation, and save the PowerPoint presentation as a PDF","Sdílení a spolutvárování prezentace, používání komentářů, kontrola prezentace a uložení powerpointové prezentace ve formátu PDF",
"Build and customize intranet sites, collaborate with others, manage your daily routine with workflows, and store your information","Vytváření a přizpůsobení intranetových webů, spolupráce s ostatními, správa každodenní rutiny pomocí pracovních postupů a ukládání informací",
"Learn and follow sites, and stay connected on mobile","Učení a sledování webů a zůstat ve spojení na mobilních zařízeních",
"Create a team site to stay connected and communicate, update lists, add or remove a news post, and add web parts","Vytvoření týmového webu, který zůstane ve spojení a bude komunikovat, aktualizovat seznamy, přidávat nebo odebírat diskusní příspěvky a přidávat webové části",
"Create, share, and SharePoint files","Vytváření, sdílení a sharepointové soubory",
"Create in Sway, Add Content, Design and Share, and Learn More","Vytváření ve Swayi, přidávání obsahu, návrhu a sdílení a další informace",
"Share your Sway, add a password, review privacy settings and accessibility features, and review keyboard shortcuts","Sdílení Swaye, přidání hesla, kontrola nastavení ochrany osobních údajů a funkcí usnadnění a kontrola klávesových zkratek",
"Add or remove content in Sway, review administrator settings, file size limits, and frequently asked questions","Přidání nebo odebrání obsahu ve Swayi, kontrola nastavení správce, omezení velikosti souboru a nejčastější dotazy",
"There are several useful options to lay out pages with Word. Learn how to change margins, create newsletter columns, change page orientation, add a border to a page, insert a header or a footer, insert page numbers, and insert a page break.","Existuje několik užitečných možností rozložení stránek pomocí aplikace Word. Přečtěte si, jak změnit okraje, vytvořit sloupce bulletinu, změnit orientaci stránky, přidat ohraničení stránky, vložit záhlaví nebo zápatí, vložit čísla stránek a vložit okraj stránky.",
"Create and format a document, track changes, and collaborate with others","Vytvoření a formátování dokumentu, sledování změn a spolupráce s ostatními",
"Add, replace, and format text in Word. Insert and remove hyperlinks, and show word count","Přidání, nahrazení a formátování textu ve Wordu Vložení a odebrání hypertextových odkazů a zobrazení počtu slov",
"Create a newsletter column, change page orientation, add a border, header, or footer, insert a page break or number, and create a table of contents","Vytvoření sloupce bulletinu, změna orientace stránky, přidání ohraničení, záhlaví nebo zápatí, vložení zalomení nebo číslo stránky a vytvoření obsahu",
"Insert tables, pictures, icons, WordArt and watermarks. Learn how to rotate a picture and wrap text around a picture.","Vložte tabulky, obrázky, ikony, wordart a vodoznaky. Přečtěte si, jak otočit obrázek a obtékovat text kolem obrázku.",
"Save, print, or convert a document to PDF. Print envelopes and labels.","Uložte, vytiskněte nebo převeďte dokument do PDF. Tisk obálek a štítků.",
"Collaborate in Word by incerting comments and tracking changes. Use Word on a mobile device.","Spolupracujte ve Wordu tím, že se vyčmucháte z komentářů a sledujete změny. Použijte Word na mobilním zařízení.",
"Write an equation or formula in Word, indent a paragraph, insert lines, create a bibliography, and insert footnotes and endnotes","Psaní rovnice nebo vzorce v aplikaci Word, odsazení odstavce, vložení řádků, vytvoření bibliografie a vložení poznámek pod čarou a vysvětlivek",
"Learn to make Word accessible: Use a screen reader, shortcuts, and do things with Tell Me","Naučte se zpřístupnit Word: Pomocí čtečky obrazovky, zástupců a věcí s tell me",
"Learn to format text, create a bulleted or numbered list, change the line spacing in Word, apply styles and apply themes","Naučte se formátovat text, vytvářet seznam s odrážkou nebo číslovaný seznam, měnit řádkování ve Wordu, aplikovat styly a aplikovat motivy",
"Get started quickly with the Yammer Quick Start. Sign in to Yammer and join community conversations, find out what's trending in your organization, and set up the Yammer mobile app to use Yammer on the go.","S rychlým startem Yammeru můžete začít rychle. Přihlaste se k Yammeru a připojte se ke konverzacím komunity, zjistěte, co je ve vaší organizaci trendy, a nastavte mobilní aplikaci Yammer tak, aby používala Yammer na cestách.",
"Plan a strategy for rolling out Yammer, identify Yammer use cases, create a community for the Yammer use cases and prepare for launch. After launch, educate users, drive ongoing engagement of Yammer and integrate Yammer into SharePoint.","Naplánujte strategii pro zavedení Yammeru, identifikujte případy použití Yammeru, vytvořte komunitu pro případy použití Yammeru a připravte se na spuštění. Po spuštění vzdělávejte uživatele, podněčte trvalou angažovanost Yammeru a integrujte Yammer do SharePointu.",
"Use Yammer every day to stay on top of what matters, tap into the knowledge of others, and build on existing work. Learn how to change your profile and settings, start a Yammer conversation, join a Yammer community, manage Yammer notifications and announcements and follow Yammer best practices to make Yammer an important part of your workday.","Pomocí Yammeru můžete každý den mít na svém vrcholu, využívat znalosti ostatních a stavět na stávající práci. Přečtěte si, jak změnit profil a nastavení, zahájit konverzaci Yammeru, připojit se ke komunitě Yammeru, spravovat oznámení a oznámení Yammeru a dodržovat doporučené postupy Yammeru, aby se Yammer měl stát důležitou součástí vašeho pracovního dne.",
"Discover what's new/what's changed for the latest update of Microsoft 365 learning pathways","Zjistěte, co je nového/co se změnilo pro nejnovější aktualizaci výukových cest Microsoftu 365",
"Review Learning Pathways content and content types. Decide what works for your organization.","Zkontrolujte obsah a typy obsahu studijních cest. Rozhodněte se, co funguje pro vaši organizaci.",
"Learn how to customize the Learning Pathways site, how to hide and show content, and how to build custom playlists.","Přečtěte si, jak přizpůsobit web Studijní cesty, jak skrýt a zobrazit obsah a jak vytvářet vlastní seznamy skladeb.",
"Discover resources and best practices for driving adoption of Learning Pathways","Objevte zdroje a osvědčené postupy pro přijetí studijních cest",
"Administrators should leverage SharePoint’s built-in site usage reporting capabilities to measure organizational impact of the Microsoft 365 learning pathways.","Správci by měli využívat integrované funkce vykazování využití webu SharePointu k měření dopadu výukových cest Microsoftu 365 na organizaci.",
"Drive adoption of your Office 365 services with these best practices","Podněďte přijetí služeb Office 365 pomocí těchto doporučených postupů",
"Share a list or list item","Sdílení seznamu nebo položky seznamu",
"Create a list in a Teams channel","Vytvoření seznamu v kanálu Teams",
"Find and manage your list","Vyhledání a správa seznamu",
"Create or change the view of a list","Vytvoření nebo změna zobrazení seznamu",
"Track business information","Sledování obchodních informací",
"Add or edit list items","Přidání nebo úprava položek seznamu",
"Edit a view of a list","Úprava zobrazení seznamu",
"Create a list from the Lists app","Vytvoření seznamu z aplikace Seznamy",
"Microsoft 365 Accessibility Intro","Úvod k usnadnění v Microsoftu 365",
"Use more accessible colors and styles in slides","Použití přístupnějších barev a stylů ve snímcích",
"Get accessible templates for Office","Získání přístupných šablon pro Office",
"Create more accessible slides","Vytváření přístupnějších snímků",
"Create accessible file names","Vytvoření přístupných názvů souborů",
"Improve heading accessibility","Zlepšení přístupnosti nadpisů",
"Create accessible links","Vytvoření přístupných odkazů",
"Use the Accessibility Checker","Použití kontroly přístupnosti",
"Start with an accessible Excel template","Začněte s přístupnou šablonou Excelu",
"Save a presentation in a different format","Uložení prezentace v jiném formátu",
"Create more accessible tables in Excel","Vytváření přístupnějších tabulek v Excelu",
"Improve accessibility with alt text","Zlepšení přístupnosti pomocí alternativního textu",
"Create accessible tables","Vytváření přístupných tabulek",
"Design slides for people with dyslexia","Designové skluzavky pro osoby s dyslexií",
"Improve image accessibility in email","Zlepšení přístupnosti obrázků v e-mailu",
"Check document accessibility","Kontrola přístupnosti dokumentu",
"Creating accessible documents","Vytváření přístupných dokumentů",
"Improve email accessibility","Zlepšení přístupnosti e-mailů",
"Add accessible tables and lists to email","Přidání přístupných tabulek a seznamů do e-mailu",
"Create more accessible charts in Excel","Vytváření přístupnějších grafů v Excelu",
"Improve image accessibility in PowerPoint","Zlepšení usnadnění přístupu k obrázkům v PowerPointu",
"Clear formatting","Vymazat formátování",
"Undo and redo actions","Vrácení zpět a znovu akce",
"Create a file from a template","Vytvoření souboru ze šablony",
"Validate your skills with our online course","Ověřte své dovednosti pomocí našeho online kurzu",
"Add and review comments","Přidání a kontrola komentářů",
"Format shapes","Formátování obrazců",
"Work remotely: Work remotely with Office 365","Práce na dálku: Práce na dálku s Office 365",
"Best practices for collaborating: Get started","Doporučené postupy pro spolupráci: Začínáme",
"Update your profile","Aktualizace profilu",
"Save files online","Ukládání souborů online",
"Share a file or folder","Sdílení souboru nebo složky",
"Get the most out of Office 365 on iPhones and iPads","Vysázte Co nejvíc z Office 365 na iPhonech a iPadech",
"Remove personal data from files","Odebrání osobních údajů ze souborů",
"End User Adoption Guide","Průvodce přijetím koncového uživatele",
"Create and change WordArt","Vytvoření a změna WordArtu",
"Sign in","Přihlásit se",
"Set document recovery options","Nastavení možností obnovení dokumentu",
"Add, resize, and format text boxes","Přidání, velikost a formátování textových polí",
"Wrap text around pictures","Obtékání textu kolem obrázků",
"Add a table","Přidání tabulky",
"Create a SmartArt graphic from a list","Vytvoření obrázku SmartArt ze seznamu",
"Change the look of paragraphs","Změna vzhledu odstavců",
"Customize the app launcher","Přizpůsobení spouštěče aplikací",
"Add and format lists","Přidání a formátování seznamů",
"Welcome to Microsoft 365","Vítá vás Microsoft 365",
"Add and change picture effects","Přidání a změna efektů obrázku",
"Get the most out of Office 365 on Android phones and tablets","Vysávejte z Office 365 na telefonech a tabletech s Androidem co nejvíce",
"Why drive adoption?","Proč řídit adopci?",
"Find your Champions","Najděte své šampiony",
"Merge and split table cells","Sloučení a rozdělení buněk tabulky",
"Best practices for collaborating: Co-author","Doporučené postupy pro spolupráci: Spoluautor",
"Change your Office 365 for business password","Změna hesla Office 365 pro firmy",
"Intro to Office Basics","Úvod do základů Office",
"Add and delete table rows and columns","Přidání a odstranění řádků a sloupců tabulky",
"Work with your team","Spolupracujte se svým týmem",
"Create in Microsoft 365 for business","Vytvoření v Microsoftu 365 pro firmy",
"Restrict changes to files","Omezit změny souborů",
"Move, resize, and rotate pictures","Přesunutí, velikost a otočení obrázků",
"Create and organize teams","Vytváření a uspořádání týmů",
"Sign in and install","Přihlášení a instalace",
"Save files in different places and formats","Ukládání souborů na různých místech a formátech",
"Create, save, and open files","Vytváření, ukládání a otevírání souborů",
"Move a file from OneDrive to SPO","Přesunutí souboru z OneDrivu na SPO",
"Split tables","Rozdělit tabulky",
"Improve adoption with feedback","Zlepšete přijetí se zpětnou vazbou",
"Zoom in or out","Přiblížení nebo oddálíní",
"Get started fast at Office.com","Začínáme rychle na Office.com",
"Crop a picture","Oříznutí obrázku",
"Find and replace text","Vyhledání a nahrazení textu",
"Preview and print files","Náhled a tisk souborů",
"Add pictures","Přidání obrázků",
"Co-author Office files","Spolutváku souborů Office",
"Why you need a Microsoft Account with an Office for home product","Proč potřebujete účet Microsoft s produktem Office pro domácnosti",
"Align objects","Zarovnání objektů",
"Add screenshots","Přidání snímků obrazovky",
"Remove the background from a picture","Odebrání pozadí z obrázku",
"Work remotely: Store your work files","Práce na dálku: Ukládání pracovních souborů",
"What is Office 365?","Co je Office 365?",
"Save","Uložit",
"Switch between online and desktop apps","Přepínání mezi online a desktopovými aplikacemi",
"Check spelling and grammar","Kontrola pravopisu a gramatiky",
"Change the look of text","Změna vzhledu textu",
"View files in split and multiple windows","Zobrazení souborů v rozdělených a více oknech",
"Add links in a file","Přidání odkazů do souboru",
"Change your Office for home password","Změna hesla Office pro domácnosti",
"Inspect files for accessibility issues","Kontrola problémů s usnadněním v souborech",
"Crop a picture to fit a shape","Oříznutí obrázku tak, aby odpovídal obrazci",
"Rename files","Přejmenování souborů",
"Sort table contents","Řazení obsahu tabulky",
"Change the look of charts","Změna vzhledu grafů",
"Insert equations","Vložení rovnic",
"Inspect files for compatibility issues","Kontrola problémů s kompatibilitou souborů",
"Sign in to Microsoft 365","Přihlášení k Microsoftu 365",
"Get help and support","Získání nápovědy a podpory",
"Draw shapes","Kreslení obrazců",
"Work remotely: Advanced alternatives","Práce na dálku: Pokročilé alternativy",
"Real world guidance for your Champion program","Vedení reálného světa pro váš program Šampion",
"Collaborate with others","Spolupráce s ostatními",
"Try new things","Vyzkoušejte nové věci",
"Copy formatting","Kopírování formátování",
"Overview","Přehled",
"Recover Office files","Obnovení souborů Office",
"Set up mobile apps","Nastavení mobilních aplikací",
"Set up your mobile apps","Nastavení mobilních aplikací",
"Embed and link to files","Vložení a propojení se soubory",
"Create and change SmartArt","Vytvoření a změna obrázku SmartArt",
"Resize table rows and columns","Velikost řádků a sloupců tabulky",
"Best practices for collaborating: Tips for better meetings","Doporučené postupy pro spolupráci: Tipy pro lepší schůzky",
"Change document properties","Změna vlastností dokumentu",
"Join the public Microsoft 365 Champion program","Připojte se k veřejnému programu Microsoft 365 Champion",
"Work remotely: Get started at Office.com","Práce na dálku: Začínáme Office.com",
"Work remotely: Communicate or meet","Práce na dálku: Komunikujte nebo se seznamte",
"Get started building a Champion program","Začínáme budovat program šampionů",
"Share a file","Sdílení souboru",
"Add charts","Přidání grafů",
"Import a chart","Import grafu",
"Best practices for collaborating: Mobile","Doporučené postupy pro spolupráci: Mobilní",
"Apply a table style","Použití stylu tabulky",
"Sign in to Office","Přihlášení k Office",
"Group and ungroup shapes, pictures, and objects","Seskupení a oddělení obrazců, obrázků a objektů",
"Best practices for collaborating: Comment and @mention in a file","Doporučené postupy pro spolupráci: Komentář @mention komentáře a komentáře v souboru",
"Stack shapes, pictures, and objects","Stohování obrazců, obrázků a objektů",
"Convert or save to PDF","Převod nebo uložení do PDF",
"Accept tracked changes","Přijmout sledované změny",
"Insert WordArt","Vložení wordartu",
"Print mailing labels","Tisk adresních štítků",
"Learning Tools in Word","Výukové nástroje ve Wordu",
"Create a bibliography, citations, and references","Vytvoření bibliografie, citací a odkazů",
"Insert a page break","Vložení zalomené stránky",
"Rotate a picture or shape","Otočení obrázku nebo obrazce",
"Create a document","Vytvoření dokumentu",
"Insert hyperlinks","Vložení hypertextových odkazů",
"Introduction to using a screen reader in Word","Úvod k používání čtečky obrazovky ve Wordu",
"Dictate your documents in Word","Diktování dokumentů ve Wordu",
"Create newsletter columns","Vytvoření sloupců bulletinu",
"Track changes in Word","Sledování změn ve Wordu",
"Create a bulleted or numbered list","Vytvoření seznamu s odrážky nebo číslovaných seznamů",
"Write an equation or formula","Napsání rovnice nebo vzorce",
"Create a table of contents","Vytvoření obsahu",
"Insert footnotes and endnotes","Vložení poznámek pod čarou a vysvětlivek",
"Save a document","Uložení dokumentu",
"Apply styles","Použití stylů",
"What is Word","Co je Word",
"Edit a PDF","Úprava PDF",
"Keyboard shortcuts","Klávesové zkratky",
"Check spelling, grammar, and clarity","Kontrola pravopisu, gramatiky a srozumitelnosti",
"Wrap text around a picture","Obtékání textu kolem obrázku",
"Collaborate on Word documents with real-time co-authoring","Spolupráce na dokumentech aplikace Word pomocí spolutváku v reálném čase",
"Add a border to a page","Přidání ohraničení na stránku",
"Insert or delete a comment","Vložení nebo odstranění komentáře",
"Share a document","Sdílení dokumentu",
"Change page orientation to landscape or portrait","Změna orientace stránky na šířku nebo na výšku",
"Insert a table","Vložení tabulky",
"Double-space the lines in a document","Dvojité mezery mezi řádky v dokumentu",
"Show word count","Zobrazit počet slov",
"Add and format text","Přidání a formátování textu",
"Remove hyperlinks","Odebrání hypertextových odkazů",
"Indent the first line of a paragraph","Odsazení prvního řádku odstavce",
"Collaborate","Spolupracovat",
"Print an envelope","Tisk obálky",
"Change the line spacing in Word","Změna řádkování ve Wordu",
"Design and edit","Návrh a úpravy",
"Print return address labels","Tisk štítků zpáteční adresy",
"Change margins","Změna okrajů",
"Insert pictures","Vložení obrázků",
"Print your document","Tisk dokumentu",
"Intro to making documents accessible","Úvod do zpřístupnění dokumentů",
"Save your document to OneDrive","Uložení dokumentu na OneDrive",
"Insert a header or footer","Vložení záhlaví nebo zápatí",
"Add and edit text","Přidání a úprava textu",
"Use Word on a mobile device","Použití Wordu na mobilním zařízení",
"Insert icons","Vložení ikon",
"Show or hide the ruler","Zobrazení nebo skrytí pravítka",
"Add a watermark","Přidání vodoznaku",
"Insert page numbers","Vložení čísel stránek",
"Apply themes","Použití motivů",
"Plan an event","Plánování události",
"Organize your team's tasks","Uspořádání úkolů týmu",
"Use Schedule View in Microsoft Planner","Použití zobrazení plánu v Plánovači Microsoftu",
"Manage your tasks","Správa úkolů",
