"OriginalEnglish","Translation","Locations"
"
"Create more accessible email messages in Outlook by ensuring that they are accessible to people with limited or no vision. Set HTML as the default message format, set a default font, create an accessible signature, add alt text to images, and create bulleted lists or tables to add structure that helps screen readers communicate order and relationships.","Vytvorte prístupnejšie e-mailové správy v Outlooku zabezpečením ich sprístupnenia ľuďom s obmedzenou alebo žiadnou víziou. Nastavte HTML ako predvolený formát správy, nastavte predvolené písmo, vytvorte prístupný podpis, pridajte alternatívny text do obrázkov a vytvorte zoznamy alebo tabuľky s odrážkami a pridajte štruktúru, ktorá pomáha čitateľom obrazovky komunikovať poradie a vzťahy.","/docs/learningpathways/v4/sk-sk/playlists.json;cf352e8f-caf6-4e52-86d5-ae218004e089;Description
"
"Create more accessible Word documents with Accessibility Checker to check and correct accessibility issues. Add alt text to images and objects, use heading styles to improve accessibility, create meaningful file names and hyperlinks, organize information in tables to show relationships, and learn tips that make files more accessible for people with screen readers.","Vytvorte prístupnejšie dokumenty programu Word pomocou kontroly zjednodušenia ovládania na kontrolu a opravu problémov so zjednodušením ovládania. Pridajte alternatívny text do obrázkov a objektov, použite štýly nadpisov na zlepšenie zjednodušenia ovládania, vytvorte zmysluplné názvy súborov a hypertextové prepojenia, usporiadajte informácie v tabuľkách na zobrazenie vzťahov a naučte sa tipy, ktoré robia súbory prístupnejšími pre ľudí s čítačkami obrazovky.","/docs/learningpathways/v4/sk-sk/playlists.json;76253e80-b36d-479a-9267-e73f2b5a8600;Description
"
"Create more accessible Excel workbooks using charts, tables, descriptive labels, and adding alt text to images and objects. Find and use an accessible template, explore accessible template features, and make your headings, labels, and worksheet names descriptive to make data accessible and understandable for everyone, including people with reading or vision disabilities.","Vytvorte prístupnejšie excelové zošity pomocou grafov, tabuliek, popisných menoviek a pridávania alternatívneho textu do obrázkov a objektov. Vyhľadajte a použite prístupnú šablónu, preskúmajte funkcie prístupnej šablóny a urobte nadpisy, menovky a názvy hárkov popisnými, aby boli údaje prístupné a zrozumiteľné pre všetkých vrátane ľudí s poruchami čítania alebo zraku.","/docs/learningpathways/v4/sk-sk/playlists.json;c4d3a610-6289-4979-b0b6-b679ef28c13b;Description
"
"Create more accessible PowerPoint presentations. Create slides with an accessible reading order, use accessible templates and fonts, and add alt text to charts, pictures, and other visuals Learn tips and best practices to make charts, graphs, and images more accessible for people who are color blind or have a vision or reading disability. Save your presentation in a format that can be read by a screen reader.","Vytvorte prístupnejšie powerpointové prezentácie. Vytvárajte snímky s prístupnou objednávkou čítania, použite šablóny a písma so zjednodušeným ovládaním a pridajte alternatívny text do grafov, obrázkov a iných vizuálov Naučte sa tipy a osvedčené postupy na to, aby boli grafy, grafy a obrázky prístupnejšie pre ľudí, ktorí sú farboslepí alebo majú zdravotné postihnutie zraku alebo čítania. Uložte prezentáciu vo formáte, ktorý môže čítať čítačka obrazovky.","/docs/learningpathways/v4/sk-sk/playlists.json;776fc7e7-cd09-4968-887f-cc04e8558b9e;Description
"
"Get started quickly with the Excel Quick Start guide. Learn how to create a workbook, enter data, save your workbook to OneDrive, automatically fill a column with Flash Fill, quickly calculate with AutoSum, create a chart, or use conditional formatting with Quick Analysis, freeze the top row, share your workbook to collaborate with others, and set up your mobile apps.","Začnite rýchlo so sprievodcom rýchlym štartom programu Excel. Zistite, ako vytvoriť zošit, zadať údaje, uložiť zošit do OneDrivu, automaticky vyplniť stĺpec pomocou funkcie Flash Fill, rýchlo vypočítať pomocou funkcie Automatický režim, vytvoriť graf alebo použiť podmienené formátovanie pomocou rýchlej analýzy, zmraziť horný riadok, zdieľať zošit na spoluprácu s ostatnými a nastaviť mobilné aplikácie.","/docs/learningpathways/v4/sk-sk/playlists.json;a8cbac83-f7e8-45ff-a4a6-6b04f31a5745;Description
"
"Check out this intro to Excel course to learn how to create a workbook, insert or delete a worksheet, move, copy, or print a worksheet, use Excel as a calculator, fill data automatically, and create a drop-down list.","Pozrite si tento kurz úvodu do Excelu a zistite, ako vytvoriť zošit, vložiť alebo odstrániť hárok, premiestniť, kopírovať alebo vytlačiť hárok, použiť Excel ako kalkulačku, automaticky vyplniť údaje a vytvoriť rozbaľovací zoznam.","/docs/learningpathways/v4/sk-sk/playlists.json;842fb550-07cb-42d1-9a9f-c55789efed57;Description
"
"Use Excel rows and columns to organize your data. Learn how to insert or delete rows and columns, select content in Excel, freeze panes to lock rows and columns, hide or show rows or columns, filter for unique values or remove duplicate values, split text into different columns, and create a list of sequential dates","Na usporiadanie údajov použite riadky a stĺpce programu Excel. Naučte sa vkladať alebo odstraňovať riadky a stĺpce, vybrať obsah v Exceli, zmraziť tably na uzamknutie riadkov a stĺpcov, skryť alebo zobraziť riadky alebo stĺpce, filtrovať jedinečné hodnoty alebo odstrániť duplicitné hodnoty, rozdeliť text do rôznych stĺpcov a vytvoriť zoznam sekvenčných dátumov","/docs/learningpathways/v4/sk-sk/playlists.json;7450f58a-517f-48ae-bace-248346e52275;Description
"
"Learn how to work with Excel cells - move or copy cells, change the column width or row height, find or replace text or numbers on a worksheet, merge and unmerge cells, apply data validation to cells, and import or export text (.txt or .csv) files.","Zistite, ako pracovať s bunkami programu Excel – presunúť alebo kopírovať bunky, meniť šírku stĺpca alebo výšku riadka, vyhľadať alebo nahradiť text alebo čísla v hárku, zlúčiť a odpísať bunky, použiť overenie údajov v bunkách a importovať alebo exportovať súbory textu (.txt alebo .csv).","/docs/learningpathways/v4/sk-sk/playlists.json;59b01879-ea2a-4f76-b2e4-e437fc45c61d;Description
"
"Learn how to format in Excel to save time and make your worksheet useful for you and your team. Learn helpful tips like how to format numbers (currency, percentages, dates, phone numbers), use conditional formatting to provide visual cues, change or copy cell formatting, add a watermark, display or hide zero values, and create a custom number format.","Prečítajte si, ako formátovať v Exceli, aby ste ušetrili čas a aby bol hárok užitočný pre vás a váš tím. Naučte sa užitočné tipy, ako formátovať čísla (mena, percentá, dátumy, telefónne čísla), použiť podmienené formátovanie na poskytovanie vizuálnych podnetov, zmenu alebo kopírovanie formátovania buniek, pridanie vodoznaku, zobrazenie alebo skrytie nulových hodnôt a vytvorenie vlastného číselného formátu.","/docs/learningpathways/v4/sk-sk/playlists.json;e6656c9b-a36a-4143-8fe4-5b6de0d9486b;Description
"
"Use Excel formulas and functions to perform calculations and solve problems. Learn how to use XLOOKUP, VLOOKUP, SUM, SUMIF, SUMIFS, COUNTIF, IF, IFS, and MATCH to find values, do calculations, save time, and manage data automatically.","Na vykonávanie výpočtov a riešenie problémov použite vzorce a funkcie programu Excel. Zistite, ako používať funkcie XLOOKUP, VLOOKUP, SUM, SUMIF, SUMIFS, COUNTIF, IF, IFS a MATCH na vyhľadanie hodnôt, výpočty, úsporu času a automatickú správu údajov.","/docs/learningpathways/v4/sk-sk/playlists.json;9baa4835-b7d5-4e7e-8bea-0a53a1b91229;Description
"
"Create and format tables in Excel to visually group and analyze data. Learn how to sort and filter data in a range or table, total data, and use slicers to filter data.","Vytvorte a formátujte tabuľky v Programe Excel na vizuálne zoskupenie a analýzu údajov. Prečítajte si, ako zoraďovať a filtrovať údaje v rozsahu alebo tabuľke, celkových údajoch a pomocou rýchlych filtrov na filtrovanie údajov.","/docs/learningpathways/v4/sk-sk/playlists.json;94333445-037d-4222-aa99-a84b1f6125f0;Description
"
"Charts in Excel helps you visualize your data in a way that creates maximum impact on your audience. Learn how to create a chart, add or remove titles, show or hide a chart legend, add or remove a secondary axis, add a trendline or sparkline to show data trends, and use Quick Analysis to pick the perfect chart.","Grafy v Exceli vám pomôžu vizualizovať údaje spôsobom, ktorý vytvára maximálny vplyv na vaše publikum. Zistite, ako vytvoriť graf, pridať alebo odstrániť názvy, zobraziť alebo skryť legendu grafu, pridať alebo odstrániť sekundárnu os, pridať trendovú čiaru alebo krivku na zobrazenie trendov údajov a pomocou rýchlej analýzy vyberte dokonalý graf.","/docs/learningpathways/v4/sk-sk/playlists.json;50f79020-4453-479a-a7db-301f8863a5a3;Description
"
"Excel PivotTables are a powerful tool to calculate, summarize, and analyze data and see comparisons, patterns, and trends in your data. Learn how to create a PivotTable to analyze worksheets, tables, and ranges, use the Field List to arrange fields, group or ungroup data, sort data, filter data, and create a PivotChart.","Kontingenčné tabuľky programu Excel sú výkonným nástrojom na výpočet, zhrnutie a analýzu údajov a zobrazenie porovnaní, vzorov a trendov v údajoch. Zistite, ako vytvoriť kontingenčnú tabuľku na analýzu hárkov, tabuliek a rozsahov, pomocou zoznamu polí môžete usporiadať polia, zoskupiť alebo oddeliť údaje, zoradiť údaje, filtrovať údaje a vytvoriť kontingenčný graf.","/docs/learningpathways/v4/sk-sk/playlists.json;6988bd71-e905-4699-a25c-ba148d6e5bad;Description
"
"Learn how to share and coauthor in Excel to collaborate with others in real time. See how to use comments and notes, collaborate in the same file at the same time, see files others have shared with you, lock or unlock specific areas of a workbook, protect an Excel file, and save or convert an Excel file to a PDF.","Prečítajte si, ako zdieľať a spolutvorba v programe Excel spolupracovať s ostatnými v reálnom čase. Zistite, ako používať komentáre a poznámky, spolupracovať v tom istom súbore súčasne, zobraziť súbory, ktoré s vami zdieľali iní používatelia, uzamknúť alebo odomknúť konkrétne oblasti zošita, chrániť súbor programu Excel a uložiť alebo konvertovať súbor programu Excel do PDF.","/docs/learningpathways/v4/sk-sk/playlists.json;3ee48085-019d-4256-9ad5-c2d03c82238c;Description
"
"Automatically number rows, calculate the difference between two dates, define and use names in formulas, and combine text from two or more cells in one cell.","Automaticky očíslujte riadky, vypočítajte rozdiel medzi dvoma dátumami, definujte a použite názvy vo vzorcoch a skombinujte text z dvoch alebo viacerých buniek v jednej bunke.","/docs/learningpathways/v4/sk-sk/playlists.json;d4b4a842-2858-4cef-a090-51b567d90cc0;Description
"
"Learn how to use linked data types in Excel to get data on subjects like cities, foods, stocks, geography, and more. You can also get data types provided by your organization through Power BI.","Prečítajte si, ako používať prepojené typy údajov v Programe Excel na získanie údajov o objektoch, ako sú mestá, potraviny, zásoby, geografia a ďalšie. Typy údajov môžete získať aj prostredníctvom služby Power BI.","/docs/learningpathways/v4/sk-sk/playlists.json;ed55052f-97a3-495c-937f-273c89775b69;Description
"
"Get started with Microsoft Lists to track information and organize work. Create a list from the Lists app, create a list in a Teams channel, add or edit list items, create or change the view of a list, edit a list view, find and manage your lists, share a list or list item, and track business information.","Začnite so zoznamami spoločnosti Microsoft na sledovanie informácií a organizovanie práce. Vytvorte zoznam z aplikácie Zoznamy, vytvorte zoznam v kanáli Teams, pridajte alebo upravte položky zoznamu, vytvorte alebo zmeňte zobrazenie zoznamu, upravte zobrazenie zoznamu, vyhľadajte a spravujte zoznamy, zdieľajte zoznam alebo položku zoznamu a sledujte obchodné informácie.","/docs/learningpathways/v4/sk-sk/playlists.json;0c7a8a54-f7fc-4464-8f21-67c961b84f7c;Description
"
"Get started quickly with the Microsoft 365 Quick Start. Learn how to create and work on files online, upload files to OneDrive, share files and folders, collaborate with others in real time, and set up your mobile apps to work from anywhere on all your devices.","Začnite rýchlo s rýchlym štartom služby Microsoft 365. Zistite, ako vytvárať a pracovať na súboroch online, nahrávať súbory do OneDrivu, zdieľať súbory a priečinky, spolupracovať s ostatnými v reálnom čase a nastaviť mobilné aplikácie tak, aby fungovali odkiaľkoľvek na všetkých zariadeniach.","/docs/learningpathways/v4/sk-sk/playlists.json;261009d0-8b5c-4302-bb0f-c993e1ebb51c;Description
"
"Learn how to get started with Microsoft 365 to take your productivity to the next level. Get an overview of Microsoft 365 to work in Teams and the Office apps, collaborate with others, securely save your files in the cloud, stay connected, and achieve more with intelligent features. See how to sign in and get started at office.com.","Prečítajte si, ako začať so službou Microsoft 365, aby ste svoju produktivitu dostali na ďalšiu úroveň. Získajte prehľad o službe Microsoft 365 na prácu v aplikáciách Teams a Office, spoluprácu s ostatnými, bezpečné ukladanie súborov do cloudu, zostať v spojení a dosiahnuť viac pomocou inteligentných funkcií. Pozrite sa, ako sa prihlásiť a začať na office.com.","/docs/learningpathways/v4/sk-sk/playlists.json;8f026372-069d-4449-a116-938bf5aae7ea;Description
"
"Create and save files using Microsoft 365. Learn how to create and save files the same way across Office apps using the Office desktop apps and office.com apps. Save files to the cloud using OneDrive and sync files with Files on Demand.Create and save files using Microsoft 365. Learn how to create and save files the same way across Office apps using the Office desktop apps and office.com apps. Save files to the cloud using OneDrive and sync files with Files on Demand.","Vytvárajte a uložte súbory pomocou služby Microsoft 365. Prečítajte si, ako vytvárať a ukladať súbory rovnakým spôsobom v aplikáciách balíka Office pomocou počítačových aplikácií balíka Office a office.com aplikácií. Uložte súbory do cloudu pomocou OneDrivu a synchronizujte súbory so súbormi na požiadanie.Vytvorte a uložte súbory pomocou služby Microsoft 365. Prečítajte si, ako vytvárať a ukladať súbory rovnakým spôsobom v aplikáciách balíka Office pomocou počítačových aplikácií balíka Office a office.com aplikácií. Uložte súbory do cloudu pomocou OneDrivu a synchronizujte súbory so súbormi na požiadanie.","/docs/learningpathways/v4/sk-sk/playlists.json;f4bbc974-3e87-4e2b-a4c8-7cb1d3c35fa3;Description
"
"Wherever you’re working in Microsoft 365, it’s simple to share and collaborate on your files. Learn how to share a file, set permissions, copy a link, collaborate and co-author on the same file at the same time, use @mentions to get someone’s attention, and use follow-ups to highlight areas you want to come back to, or pull others into the conversation.","Bez ohľadu na to, kde pracujete v službe Microsoft 365, je jednoduché zdieľať a spolupracovať na súboroch. Zistite, ako zdieľať súbor, nastaviť povolenia, skopírovať prepojenie, spolupracovať a spolutvorbu v tom istom súbore súčasne, použiť @mentions na získanie pozornosti niekoho a pomocou následných krokov zvýrazniť oblasti, do ktorých sa chcete vrátiť, alebo vtiahnuť ostatných do konverzácie.","/docs/learningpathways/v4/sk-sk/playlists.json;f7fc4bc7-12f5-44bc-9bd4-c122e891061d;Description
"
"Work with Microsoft Teams to collaborate with your team, help your team stay organized, and have conversations – all in one place. Learn how to create teams and channels, add a tab, pin a channel, create and format a post, start and pin a chat, make calls, join a Teams meeting, and learn tips and best practices to schedule, start, and run an effective meeting","Pracujte so službou Microsoft Teams na spolupráci s tímom, pomôžte tímu zostať organizovaný a viesť konverzácie - to všetko na jednom mieste. Naučte sa vytvárať tímy a kanály, pridávať kartu, pripnúť kanál, vytvoriť a formátovať príspevok, spustiť a pripnúť chat, uskutočňovať hovory, pripájať sa k schôdzi v tíme a naučiť sa tipy a osvedčené postupy na plánovanie, spustenie a spustenie efektívnej schôdze","/docs/learningpathways/v4/sk-sk/playlists.json;fa7efdbf-ddd5-46b4-86c0-4d75b3893c85;Description
"
"Get the most out of Windows with tools to help you search and find documents. Learn how to use the Search bar, Task View, and File Explorer. Learn about Microsoft Edge, privacy settings, switching between languages, personalized tabs, Collections, and using Edge on your mobile device. Use Microsoft Search in Bing to get search results from the web and your organization.","Vyťať maximum zo systému Windows pomocou nástrojov, ktoré vám pomôžu vyhľadávať a vyhľadávať dokumenty. Prečítajte si, ako používať vyhľadávací panel, zobrazenie úloh a Prieskumníka. Získajte informácie o prehliadači Microsoft Edge, nastaveniach ochrany osobných údajov, prepínaní medzi jazykmi, prispôsobených kartách, kolekciách a používaní Edgeu v mobilnom zariadení. Pomocou služby Microsoft Search v Bingu môžete získať výsledky vyhľadávania z webu a vašej organizácie.","/docs/learningpathways/v4/sk-sk/playlists.json;ffdf1665-6516-4d78-b9d3-39985b60c06b;Description
"
"With Microsoft 365, you can work from anywhere. Set us the OneDrive mobile app on your mobile device to access, upload, and share your files on your mobile device from anywhere. Set up the Outlook mobile app for iOS or Android to stay connected. Get the top 10 tips to help you save time and achieve more faster.","So službou Microsoft 365 môžete pracovať odkiaľkoľvek. Nastavte nám mobilnú aplikáciu OneDrive v mobilnom zariadení na prístup, nahrávanie a zdieľanie súborov v mobilnom zariadení odkiaľkoľvek. Nastavte mobilnú aplikáciu Outlook pre iOS alebo Android tak, aby zostala v spojení. Získajte 10 najlepších tipov, ktoré vám pomôžu ušetriť čas a dosiahnuť rýchlejšie.","/docs/learningpathways/v4/sk-sk/playlists.json;861f0286-c3b5-4a76-9b7e-77c1bf39572d;Description
"
"Learn about cool Microsoft features. Create professional looking slides with PowerPoint Designer. Gain insights into your data through visual summaries, trends, and patterns with Analyze data in Excel for the web. Get spelling, grammar, and writing suggestions from Editor in Word. Learn how to make your content more accessible.","Získajte informácie o skvelých funkciách spoločnosti Microsoft. Vytvorte profesionálne vyzerajúce snímky pomocou Programu PowerPoint Designer. Získajte prehľady o svojich údajoch prostredníctvom vizuálnych súhrnov, trendov a vzorov pomocou funkcie Analyzovať údaje v Exceli pre web. Získajte návrhy pravopisu, gramatiky a písania z editora vo Worde. Prečítajte si, ako sprístupniť svoj obsah.","/docs/learningpathways/v4/sk-sk/playlists.json;477ad890-043c-4d3c-982e-40c540f10009;Description
"
"Learn how to get started with Microsoft Edge, including how to add a site to your favorites, how to find the settings/tools/internet options, or how to change your default search engine to Microsoft Edge. In addition, learn how to sign in to sync Microsoft Edge across devices or how to discover the accessibility features in Microsoft Edge.","Zistite, ako začať s microsoft edgeom, vrátane toho, ako pridať lokalitu do obľúbených položiek, ako nájsť nastavenia/nástroje/možnosti internetu alebo ako zmeniť predvolený vyhľadávací nástroj na Microsoft Edge. Okrem toho sa prečítajte, ako sa prihlásiť na synchronizáciu prehliadača Microsoft Edge medzi zariadeniami alebo ako zistiť funkcie zjednodušenia ovládania v prehliadači Microsoft Edge.","/docs/learningpathways/v4/sk-sk/playlists.json;d8ec3a54-3ddf-4e02-8631-b89c3f032184;Description
"
"Learn more about how Microsoft Edge helps keep you safe when you browse the web, including configuring privacy settings, tracking prevention, InPrivate browsing, deleting browser history, blocking popups and deleting cookies.","Prečítajte si viac o tom, ako vám Microsoft Edge pomáha udržiavať bezpečnosť pri prehliadaní webu, vrátane konfigurácie nastavení ochrany osobných údajov, prevencie sledovania, prehľadávania v režime InPrivate, odstránenia histórie prehliadača, blokovania vyskakovacích vyskakovacích zariadení a odstránenia súborov cookie.","/docs/learningpathways/v4/sk-sk/playlists.json;479705db-2e50-4a8b-8a2e-a2a3d59ce61b;Description
"
"Learn how to personalize Microsoft Edge and make the browser your own, including changing your home page, adding extensions, using the dark theme, using other languages in Micrsoft Edge, and increasing the text size.","Prečítajte si, ako prispôsobiť Microsoft Edge a vytvoriť prehliadač vlastným, vrátane zmeny domovskej stránky, pridávania rozšírení, používania tmavého motívu, používania iných jazykov v Micrsoft Edge a zväčšenia veľkosti textu.","/docs/learningpathways/v4/sk-sk/playlists.json;2af83d1d-0ad1-4194-bcaa-939f32153a87;Description
"
"Build a form in minutes. Learn how to add questions to your form, define settings, share your form, and check results in just a few easy steps!","Vytvorte formulár v priebehu niekoľkých minút. Prečítajte si, ako pridať otázky do formulára, definovať nastavenia, zdieľať formulár a skontrolovať výsledky len v niekoľkých jednoduchých krokoch!","/docs/learningpathways/v4/sk-sk/playlists.json;77061d5e-2222-4748-ac80-7d03d2587bd3;Description
"
"Learn how to use Forms to create surveys, quizzes, and polls, and easily see results as they come in.","Naučte sa používať formuláre na vytváranie prieskumov, kvízov a prieskumov a jednoducho zobrazte výsledky, keď prídu.","/docs/learningpathways/v4/sk-sk/playlists.json;b873fd99-81be-483a-a8e0-16fcfe0fa120;Description
"
"Learn how to collaborate with colleagues on your quizzes and forms and share your quiz or form as a template for others to use independently.","Prečítajte si, ako spolupracovať s kolegami na kvízoch a formulároch a zdieľať kvíz alebo formulár ako šablónu pre ostatných, aby ich používali nezávisle.","/docs/learningpathways/v4/sk-sk/playlists.json;fe752d83-36ae-4209-92f8-e340e9bf696e;Description
"
"Get started quickly with the Microsoft Teams Quick Start guide. Learn how to sign in to Teams, pick a team and channel, chat in Teams, start a new conversation, reply to a conversation, use emojis, memes, and GIFs, share a file, collaborate with @mention, check your Activity Feed, search for messages, people, or files, and set up your mobile apps.","Začnite rýchlo so sprievodcom rýchlym štartom služby Microsoft Teams. Zistite, ako sa prihlásiť do služby Teams, vybrať tím a kanál, chatovať v službe Teams, začať novú konverzáciu, odpovedať na konverzáciu, používať emodži, mémy a GIF, zdieľať súbor, spolupracovať s @mention, kontrolovať informačný kanál aktivity, vyhľadávať správy, ľudí alebo súbory a nastaviť mobilné aplikácie.","/docs/learningpathways/v4/sk-sk/playlists.json;d3acd5c2-0488-4104-935a-61fda884bc49;Description
"
"Microsoft Teams is a collaboration app that helps your team stay organized and have conversations—all in one place. With Intro to Microsoft Teams, get an overview of teams, channels, meetings, conversations, tabs, share files, collaborate real time, find files, add people to a chat, make a call, manage your calendar, schedule a meeting, join meetings, share content, record a meeting, view our activity feed, and use the command box to search for people, items, or apps.","Microsoft Teams je aplikácia na spoluprácu, ktorá pomáha vášmu tímu zostať organizovaný a viesť konverzácie na jednom mieste. Pomocou služby Úvod do služby Microsoft Teams získate prehľad o tímoch, kanáloch, schôdzach, konverzáciách, kartách, zdieľaní súborov, spolupráci v reálnom čase, hľadaní súborov, pridávaní ľudí do chatu, telefonovaní, správe kalendára, naplánovaní schôdze, pripájaní sa k schôdzam, zdieľaní obsahu, nahrávaní schôdze, zobrazení informačného kanála aktivít a použití príkazového poľa na vyhľadávanie ľudí, položiek,  alebo aplikácií.","/docs/learningpathways/v4/sk-sk/playlists.json;bc9d8a0a-58f1-42cc-bdcf-9ee10b73ba24;Description
"
"Use Microsoft Teams to start chats and calls. Learn how to start one on one or group chats, make video and audio calls from chats, pin chats for quick access, make calls, hide chats, delete messages, and set up a delegate to make or answer calls on your behalf.","Na spustenie chatov a hovorov použite microsoft teams. Zistite, ako začať jeden na jednom alebo skupinovom chate, uskutočňovať video a zvukové hovory z chatov, pripnúť chaty na rýchly prístup, uskutočňovať hovory, skrývať chaty, odstraňovať správy a nastaviť delegáta na prijímanie hovorov alebo prijímanie hovorov vo vašom mene.","/docs/learningpathways/v4/sk-sk/playlists.json;2346ff06-6646-4084-845d-2ee5971f3634;Description
"
"Set up and customize your team in Microsoft Teams. Create a public or private team, add members, create a channel, and use manage team to find members, channels, settings, and apps for your team. See the go-to guide for team owners to add and remove members, add team owners, manage channels, and change team settings. You can also pin a channel and reorder your teams, to organize your teams list.","Nastavte a prispôsobte svoj tím v službe Microsoft Teams. Vytvorte verejný alebo súkromný tím, pridajte členov, vytvorte kanál a použite tím na vyhľadanie členov, kanálov, nastavení a aplikácií pre váš tím. Pozrite si príručku pre vlastníkov tímov na pridávanie a odstraňovanie členov, pridanie vlastníkov tímov, správu kanálov a zmenu nastavení tímu. Môžete tiež pripnúť kanál a zmeniť poradie tímov, aby ste usporiadali zoznam tímov.","/docs/learningpathways/v4/sk-sk/playlists.json;b6b28572-87d3-4c71-a565-8d4a8e18d406;Description
"
"Apps let you do more in Microsoft Teams. Learn how to explore apps and tools, add apps in tabs and messages, and use connectors for notifications that are useful for the whole channel. Learn useful tips like how to turn a file into a tab and how to use the command box to help you search, take quick actions, or launch apps.","Aplikácie vám umožňujú robiť viac v službe Microsoft Teams. Prečítajte si, ako preskúmať aplikácie a nástroje, pridávať aplikácie na kartách a správach a používať konektory na upozornenia, ktoré sú užitočné pre celý kanál. Prečítajte si užitočné tipy, ako premeniť súbor na kartu a ako používať príkazové pole, ktoré vám pomôže vyhľadávať, prijímať rýchle akcie alebo spúšťať aplikácie.","/docs/learningpathways/v4/sk-sk/playlists.json;4374d7da-95a5-4e13-a14b-2e43e1277d53;Description
"
"Collaborate in teams and channels in Microsoft Teams. Learn how to create a public or private channel, pin a channel, add a tab, share a file, meet now, show and hide channels, customize channel notifications, reply to a message, like or save a message, use @mention, collaborate on or co-edit a file, start a conversation, send email to a channel, and create a plan with Planner.","Spolupracujte v tímoch a kanáloch v službe Microsoft Teams. Zistite, ako vytvoriť verejný alebo súkromný kanál, pripnúť kanál, pridať kartu, zdieľať súbor, stretnúť sa teraz, zobraziť a skryť kanály, prispôsobiť upozornenia kanála, odpovedať na správu alebo uložiť správu, použiť @mention, spolupracovať alebo spolu upravovať súbor, začať konverzáciu, odosielať e-mail do kanála a vytvoriť plán s Plannerom.","/docs/learningpathways/v4/sk-sk/playlists.json;d4f4cae2-ce9a-483a-a786-93974e40b482;Description
"
"Work with posts and messages in Microsoft Teams. Learn how to create and format a post, post a message to multiple channels, get attention with @mention, and save a post or message.","Práca s príspevkami a správami v službe Microsoft Teams. Zistite, ako vytvoriť a formátovať príspevok, uverejniť správu do viacerých kanálov, získať pozornosť s @mention a uložiť príspevok alebo správu.","/docs/learningpathways/v4/sk-sk/playlists.json;7a057fc3-74eb-46ab-991d-50e2e665f95d;Description
"
"Upload and find files in Microsoft Teams. Learn how to upload and share files, attach a file in a channel, upload a file to the Files tab, and find files that you recently viewed or edited, created or edited across channels, or downloaded from Teams.","Nahrajte a vyhľadajte súbory v službe Microsoft Teams. Zistite, ako nahrávať a zdieľať súbory, priložiť súbor v kanáli, nahrať súbor na kartu Súbory a nájsť súbory, ktoré ste nedávno prezerali alebo upravovali, vytvorili alebo upravili v kanáloch alebo stiahli z aplikácie Teams.","/docs/learningpathways/v4/sk-sk/playlists.json;044071b3-a780-4a24-b0b1-a4951ee48a3f;Description
"
"Hosting a large online event? Microsoft Teams live events is an extension of Teams meetings, enabling you to produce events for large online audiences with more control over video, audience interaction, and reporting. Learn how to create a live event, produce a live event, attend and participate in a live event, and moderate questions.","Usporiadať veľkú online udalosť? Živé udalosti v službe Microsoft Teams sú rozšírením schôdzí v službe Teams, ktoré vám umožňujú vytvárať udalosti pre veľké online publikum s väčšou kontrolou nad videom, interakciou publika a reportážami. Naučte sa vytvárať živé podujatie, produkovať živé podujatie, zúčastniť sa a zúčastňovať sa na živej udalosti a miernych otázkach.","/docs/learningpathways/v4/sk-sk/playlists.json;729bcb7f-43bc-4d38-a0df-8fbf38b80e56;Description
"
"Learn tips and best practices to manage and run effective meetings in Microsoft Teams. Join a Teams meeting, create instant meetings with Meet Now, meet in a channel, view and schedule meetings, show your screen or PowerPoint slides during a meeting, and move around during a Teams meeting to check activity and keep working during a meeting. Watch this video training to see how.","Získajte tipy a osvedčené postupy na správu a spustenie efektívnych schôdzí v službe Microsoft Teams. Pripojte sa k schôdzi v tíme, vytvorte okamžité schôdze so spoločnosťou Meet Now, stretávajte sa v kanáli, zobrazte a naplánujte schôdze, zobrazte obrazovku alebo powerpointové snímky počas schôdze a počas schôdze sa pohybujte, aby ste skontrolovali aktivitu a pokračovali v práci počas schôdze. Pozrite si video tréning a zistite, ako na to.","/docs/learningpathways/v4/sk-sk/playlists.json;fae33957-cb84-4185-ab78-2bd3818b31ee;Description
"
"Select the Activity icon in the Microsoft Teams left rail to manage your activity feed, which gives you a summary of everything that’s happened in the teams channels you follow. Learn how to filter your activity feed and manage your notification settings to control what notifications you receive, where you receive them, and how often.","Vyberte ikonu Aktivita v ľavom zábradlí služby Microsoft Teams a spravujte informačný kanál aktivity, ktorý vám poskytne súhrn všetkého, čo sa stalo v tímových kanáloch, ktoré sledujete. Prečítajte si, ako filtrovať informačný kanál aktivity a spravovať nastavenia upozornení na ovládanie toho, aké upozornenia dostanete, kde ich prijímate a ako často.","/docs/learningpathways/v4/sk-sk/playlists.json;2b830deb-c2f7-46b4-9c0f-eb3150a9f083;Description
"
"Start a 1:1 or group chat in the Microsoft Teams mobile app to talk privately or collaborate with a smaller group. Create a channel, join a meeting, use your activity feed, or manage notifications on the go,","Spustite skupinový chat v mobilnej aplikácii Microsoft Teams a porozprávajte sa súkromne alebo spolupracujte s menšou skupinou. Vytvorte kanál, pripojte sa k schôdzi, použite informačný kanál aktivity alebo spravujte upozornenia na cestách,","/docs/learningpathways/v4/sk-sk/playlists.json;90ecbd2b-a1a7-4da1-8355-c1f65c4af298;Description
