"OriginalEnglish","Translation","Locations"
"
"With OneNote, take notes the way you want – type notes, write notes, convert handwritten notes to text, and even record audio notes. Insert pictures, files, and videos. Create as many pages, sections, and notebooks as you need.","Ve OneNotu si můžete dělat poznámky požadovaným způsobem – psát poznámky, psát poznámky, převádět ručně psané poznámky na text a dokonce nahrávat zvukové poznámky. Vkládejte obrázky, soubory a videa. Vytvořte tolik stránek, oddílů a poznámkových bloků, kolik potřebujete.","/docs/learningpathways/v4/cs-cz/playlists.json;b63ab88a-2478-44a0-80a9-661849142f29;Description
"
"Format notes in OneNote to get them to look just the way you want. Highlight text, create lists, indent text, align notes, and apply styles. Apply a background color to a page or section to make it more visually appealing. Insert and format a table to visually organize information.","Naformátujte poznámky ve OneNotu, aby vypadaly přesně tak, jak chcete. Zvýrazněte text, vytvořte seznamy, odsazení textu, zarovnejte poznámky a aplikujte styly. Použijte barvu pozadí na stránku nebo oddíl, aby byla vizuálně přitažlivější. Vložení a formátování tabulky pro vizuální uspořádání informací.","/docs/learningpathways/v4/cs-cz/playlists.json;8c0e0a94-ac56-4ed8-a385-caea31145761;Description
"
"Draw or sketch in OneNote to bring your notes to life. You can select a pen, pencil, or highlighter, the thickness, and the color. Create shapes like a circle, triangle, or rectangle, or even draw shapes with your finger, pen, or mouse and OneNote will clean them up for you.","Kreslení nebo kreslení ve OneNotu, abyste své poznámky oživily. Můžete vybrat pero, tužku nebo zvýrazňovač, tloušťku a barvu. Vytvořte obrazce, jako je kruh, trojúhelník nebo obdélník, nebo dokonce nakreslete tvary prstem, perem nebo myší a OneNote je za vás vyčistí.","/docs/learningpathways/v4/cs-cz/playlists.json;17a6d04a-e893-4b67-932f-529f70868150;Description
"
"To stay organized with OneNote, learn how to search for notes, narrow the search, and organize your notebooks. See how to show navigation panes, move a page from one section to another, copy a page to another section or notebook, and move or copy a section.","Pokud chcete zůstat ve OneNotu organizovaní, přečtěte si, jak vyhledávat poznámky, zúžit vyhledávání a uspořádat poznámkové bloky. Podívejte se, jak zobrazit navigační podokna, přesunout stránku z jednoho oddílu do druhého, zkopírovat stránku do jiného oddílu nebo poznámkového bloku a přesunout nebo zkopírovat oddíl.","/docs/learningpathways/v4/cs-cz/playlists.json;352e7758-5888-40c5-b765-edc83d7c64b3;Description
"
"Share and sync your entire OneNote notebook to collaborate with others. Select share, who you want to share with, and whether they can edit or only view your page or notebook. You can also lock or password-protect notebook sections that you want to keep private.","Sdílejte a synchronizujte celý poznámkový blok OneNotu a spolupracujte s ostatními. Vyberte sdílet, s kým chcete sdílet a jestli můžou upravovat nebo jen prohlížet vaši stránku nebo poznámkový blok. Můžete také zamknout nebo chránit části poznámkového bloku, které chcete zachovat v soukromí.","/docs/learningpathways/v4/cs-cz/playlists.json;30190ee7-5d18-4c8c-9104-42b06388bee7;Description
"
"Use OneNote on your mobile devices so you can connect and work with your notes wherever you are. Use OneNote on iOS, OneNote for Android, or OneNote Online.","OneNote používejte na mobilních zařízeních, abyste se mohli připojit a pracovat s poznámkami, ať jste kdekoli. OneNote používejte v iOS, OneNotu pro Android nebo OneNotu Online.","/docs/learningpathways/v4/cs-cz/playlists.json;54d20fd4-0c72-404a-b0d8-93e64fcc0e36;Description
"
"Get started quickly with the Outlook Quick Start guide. Learn how to add an email account, create and send email, use @mentions, show Focused inbox, manage your calendar and contacts, schedule an appointment using Scheduling Assistant, add a contact, collaborate in Outlook, share a file, set up an online meeting and shared notes, and set up your mobile apps.","Začněte rychle s průvodcem Rychlým startem v Outlooku. Přečtěte si, jak přidat e-mailový účet, vytvořit a odeslat e-maily, použít @mentions, zobrazit prioritní doručenou poštu, spravovat kalendář a kontakty, naplánovat schůzku pomocí Pomocníka pro plánování, přidat kontakt, spolupracovat v Outlooku, sdílet soubor, nastavit online schůzku a sdílené poznámky a nastavit mobilní aplikace.","/docs/learningpathways/v4/cs-cz/playlists.json;e66fa8f3-ec7e-47f9-9d79-4d334f157563;Description
"
"Need to set up and customize Outlook? Learn how Outlook can help you organize your email, manage and share your calendar, share files, stay connected, and add an outlook.com account, Microsoft 365 email account, or Gmail account.","Potřebujete nastavit a přizpůsobit Outlook? Přečtěte si, jak vám Outlook může pomoct uspořádat e-mail, spravovat a sdílet kalendář, sdílet soubory, zůstat ve spojení a přidat outlook.com účet, e-mailový účet Microsoft 365 nebo účet Gmail.","/docs/learningpathways/v4/cs-cz/playlists.json;79fe1eb2-571e-4cbe-98b9-913692ddd387;Description
"
"Learn how to create and send email in Outlook, create an email signature, send and receive attachments, and retract or replace a sent email. Watch this video training to see how.","Přečtěte si, jak vytvořit a odeslat e-maily v Outlooku, vytvořit podpis e-mailu, odeslat a přijmout přílohy a stáhnout nebo nahradit odeslaný e-mail. Podívejte se na toto video školení a podívejte se, jak na to.","/docs/learningpathways/v4/cs-cz/playlists.json;44bb07ac-1c25-43fa-885d-4a0476734c9f;Description
"
"Learn how to manage your email in Outlook. Use Automatic Replies to auto-reply to messages, search and filter email, refine your searches, ignore conversations, and use Clean Up Conversation to clean up your inbox. Watch this video training to see how.","Přečtěte si, jak spravovat e-maily v Outlooku. Pomocí automatických odpovědí na zprávy, vyhledávání a filtrování e-mailů, zpřesňování vyhledávání, ignorování konverzací a čištění doručené pošty použijte pomocí vyčištění konverzace. Podívejte se na toto video školení a podívejte se, jak na to.","/docs/learningpathways/v4/cs-cz/playlists.json;8d87d80d-b5df-45a9-9164-e03d74cca066;Description
"
"Learn tips to organize your inbox. Learn how to set a Follow Up flag, view or remove Follow Up flags, set a reminder, find an Action Item, create color categories, assign a color category to an email message, create a folder, move messages into a folder, add a folder to Favorites, or create a rule.","Přečtěte si tipy, jak uspořádat doručenou poštu. Přečtěte si, jak nastavit příznak Zpracování, zobrazit nebo odebrat příznaky Zpracování, nastavit připomenutí, najít položku akce, vytvořit barevné kategorie, přiřadit barevnou kategorii e-mailové zprávě, vytvořit složku, přesunout zprávy do složky, přidat složku do oblíbených nebo vytvořit pravidlo.","/docs/learningpathways/v4/cs-cz/playlists.json;ab55d6d4-c932-48a5-a062-a5e760fda581;Description
"
"Keep track of your contacts and tasks in Outlook. Learn how to add a contact, create a contact group, import Gmail contacts, export contacts, and create tasks and a to-do list.","Sledujte své kontakty a úkoly v Outlooku. Přečtěte si, jak přidat kontakt, vytvořit skupinu kontaktů, importovat kontakty Gmailu, exportovat kontakty a vytvořit úkoly a seznam úkolů.","/docs/learningpathways/v4/cs-cz/playlists.json;94a14949-5322-4bfb-b45a-f66e67286e98;Description
"
"Learn how to use your calendar in Outlook to organize your schedule. Switch your calendar view between day, week, or month, create appointments and meetings, schedule an online meeting, share your calendar, import calendars, search for calendar items, use color categories and reminders so you never miss an important meeting, and turn on Shared Calendar preview.","Přečtěte si, jak uspořádat plán pomocí kalendáře v Outlooku. Přepněte zobrazení kalendáře mezi dnem, týdnem nebo měsícem, vytvořte schůzky a schůzky, naplánujte online schůzku, sdílejte kalendář, importujte kalendáře, vyhledávejte položky kalendáře, použijte barevné kategorie a připomenutí, abyste nikdy nezmeškali důležitou schůzku, a zapněte náhled sdíleného kalendáře.","/docs/learningpathways/v4/cs-cz/playlists.json;534d99cd-2b9b-4a9d-acde-c83fcfc082aa;Description
"
"Manage your inbox in Outlook mobile. Learn how to play your emails, RSVP to invites instantly, swipe left and swipe right to manage your inbox, sort messages into Focused and Other to focus on what matters, and use Android widgets to access the tools you use all day, every day right from your Android home screen.","Správa doručené pošty v Outlooku mobile Přečtěte si, jak přehrávat e-maily, RSVP pro okamžité pozvánky, přejetím prstem doleva a přejetím doprava, abyste mohli spravovat doručenou poštu, třídit zprávy do focused a další, abyste se zaměřili na to, na čem záleží, a pomocí widgetů Androidu získáte přístup k nástrojům, které používáte celý den, každý den přímo z domovské obrazovky Androidu.","/docs/learningpathways/v4/cs-cz/playlists.json;cf0a88b6-99be-4db9-8312-a762cfd9976a;Description
"
"Use Outlook mobile to manage your time, schedule meetings, and see when everyone is available. Use the meeting location assistant, send meeting availability, share your calendar, merge and combine calendars, and manage your notifications. Learn the top 10 Outlook mobile tips.","Pomocí Outlooku Mobile můžete spravovat čas, plánovat schůzky a sledovat, kdy jsou všichni k dispozici. Použijte asistenta umístění schůzky, odesílejte dostupnost schůzek, sdílejte kalendář, slučujte a kombinujte kalendáře a spravujte oznámení. Přečtěte si 10 nejlepších tipů pro Outlook pro mobily.","/docs/learningpathways/v4/cs-cz/playlists.json;07666fb2-f6a8-416d-9805-78072ade58ca;Description
/docs/learningpathways/v4/cs-cz/playlists.json;a0cbd9cd-bfeb-4976-b39d-8c21da669d0f;Description
"
"Learn how to search in Outlook mobile, share files and photos, search your calendar by title, subject, email address, or event description, and use the Search icon to find email attachments.","Přečtěte si, jak vyhledávat v Outlooku mobile, sdílet soubory a fotky, prohledávat kalendář podle názvu, předmětu, e-mailové adresy nebo popisu události a pomocí ikony Hledat najít e-mailové přílohy.","/docs/learningpathways/v4/cs-cz/playlists.json;8405be6d-8da0-40d4-aa5c-ac00d4697c2b;Description
"
"Get started quickly with the Planner Quick Start. Learn how to sign in, create a plan, add people to a plan, set up buckets for tasks, add tasks, due dates, comments and attachments, view a plan’s progress and get email updates and notifications, and set up your mobile device to use Planner anywhere.","Začněte rychle s rychlým startem v Planneru. Přečtěte si, jak se přihlásit, vytvořit plán, přidat lidi do plánu, nastavit kbelíky pro úkoly, přidávat úkoly, termíny splnění, komentáře a přílohy, zobrazovat průběh plánu a dostávat aktualizace a oznámení e-mailů a nastavit mobilní zařízení tak, aby používalo Planner kdekoli.","/docs/learningpathways/v4/cs-cz/playlists.json;f0e74200-1232-4659-8e66-4a037496dcad;Description
"
"Get ideas for your board in Planner. Plan an event like a product launch, support customers, publish content, or track progress. See real life examples to get ideas for how you can use Planner.","Získejte nápady pro svou nástěnku v Planneru. Naplánujte událost, jako je spuštění produktu, podpora zákazníků, publikování obsahu nebo sledování pokroku. Podívejte se na příklady z reálného života a získejte nápady, jak můžete Planner používat.","/docs/learningpathways/v4/cs-cz/playlists.json;66e36e66-d38b-4103-9c34-1201c2f2eb7f;Description
"
"Use Planner to organize your team, see progress reports, and track individual assignments. Learn how to build a plan, add buckets and tasks, assign tasks and due dates, and add a plan to Teams. Compare Planner to ToDo, use Schedule View to organize your tasks on a calendar and see your Planner schedule in Outlook calendar.","Pomocí Planneru můžete uspořádat tým, zobrazit přehledy o průběhu a sledovat jednotlivá přiřazení. Přečtěte si, jak vytvořit plán, přidat kbelíky a úkoly, přiřadit úkoly a termíny splnění a přidat plán do Teams. Porovnejte Planner s ToDo, pomocí zobrazení plánu uspořádejte úkoly v kalendáři a podívejte se na plán Planneru v kalendáři Outlooku.","/docs/learningpathways/v4/cs-cz/playlists.json;4a1a5131-1a63-4398-8105-ae9a18c20af8;Description
"
"Get started quickly with the PowerPoint Quick Start guide. Create a presentation, add a slide, picture, shape, or chart, save to OneDrive, rename a presentation, use themes and PowerPoint Designer, add transitions and animations, share and collaborate with others, add comments, chat while editing, restore previous versions, use Presenter View and Notes, and set up your mobile apps.","Začněte rychle s průvodcem Rychlým startem v PowerPointu. Vytvořte prezentaci, přidejte snímek, obrázek, tvar nebo graf, uložte na OneDrive, přejmenujte prezentaci, použijte motivy a PowerPoint Designer, přidejte přechody a animace, sdílejte a spolupracujte s ostatními, přidávejte komentáře, chatujte při úpravách, obnovujte předchozí verze, použijte zobrazení prezentujícího a poznámky a nastavte mobilní aplikace.","/docs/learningpathways/v4/cs-cz/playlists.json;df1a81f5-17a5-4a7a-b214-dfeb4f677afb;Description
"
"In this intro to PowerPoint course, learn how you can use PowerPoint to create presentations, add text, images, art, and videos, select a professional design with PowerPoint Designer, add transitions and animations, save to OneDrive to get to your files from anywhere, and share your work to collaborate with others.","V tomto úvodním kurzu PowerPointu se dozvíte, jak pomocí PowerPointu vytvářet prezentace, přidávat text, obrázky, umění a videa, vybrat profesionální návrh pomocí PowerPoint Designeru, přidávat přechody a animace, ukládat na OneDrive, abyste se dostali ke souborům odkudkoli, a sdílejte svou práci a spolupracujte s ostatními.","/docs/learningpathways/v4/cs-cz/playlists.json;b7593732-a75a-4542-9d72-4932c505b92f;Description
"
"Learn how to create slides and layouts in PowerPoint. Create a slide master, add, rearrange, duplicate and move slides, apply a slide layout, add color and design to your slides with themes, apply a template to a new presentation, get design ideas with PowerPoint Designer, and customize a slide master. Watch this video training to see how.","Přečtěte si, jak v PowerPointu vytvářet snímky a rozložení. Vytvořte předlohu snímků, přidejte, změňte uspořádání, duplikujte a přesuňte snímky, použijte rozložení snímku, přidejte barvu a design do snímků pomocí motivů, použijte šablonu na novou prezentaci, získejte návrhy pomocí PowerPoint Designeru a přizpůsobte předlohu snímků. Podívejte se na toto video školení a podívejte se, jak na to.","/docs/learningpathways/v4/cs-cz/playlists.json;4851d3e7-0790-4ccb-b943-cfa0558b4ef6;Description
"
"Want to learn about text and tables with PowerPoint? Learn how to insert WordArt, add a hyperlink to a slide, create a PowerPoint presentation from an outline, check spelling in your presentation, create and format a table, insert a linked Excel chart, add slide numbers, date and time, and set the text direction and position in a shape or text box.","Chcete se s PowerPointem dozvědět něco o textu a tabulkách? Přečtěte si, jak vložit WordArt, přidat hypertextový odkaz na snímek, vytvořit powerpointovou prezentaci z osnovy, zkontrolovat pravopis v prezentaci, vytvořit a naformátovat tabulku, vložit propojený excelový graf, přidat čísla snímků, datum a čas a nastavit směr a umístění textu ve tvaru nebo textovém poli.","/docs/learningpathways/v4/cs-cz/playlists.json;9933fa88-bb9e-4dec-8124-abe44b89222c;Description
"
"Add pictures and graphics in PowerPoint to make your presentation visually engaging. Learn how to insert a picture, apply an artistic effect, add SmartArt, add a background picture or company logo, add charts and graphs, or insert icons.","Přidejte obrázky a grafiku v PowerPointu, aby byla prezentace vizuálně poutavá. Přečtěte si, jak vložit obrázek, použít umělecký efekt, přidat Obrázek SmartArt, přidat obrázek na pozadí nebo logo společnosti, přidat grafy a grafy nebo vložit ikony.","/docs/learningpathways/v4/cs-cz/playlists.json;8c91aac4-cb1b-4204-a53a-9aac2641f16a;Description
"
"Learn how to present slideshows in PowerPoint. Add speaker notes to your slides, rehearse the time and delivery, record a slide show with narration, print your slides, handouts, or notes, and create a self-running presentation.","Přečtěte si, jak prezentovat prezentace v PowerPointu. Přidejte poznámky přednášejícího na snímky, nacvičte čas a doručení, nahrajte prezentaci s mluveným komentářem, vytiskněte snímky, podklady nebo poznámky a vytvořte vlastní prezentaci.","/docs/learningpathways/v4/cs-cz/playlists.json;e1144779-6751-4415-a1d4-24e0303ea6db;Description
"
"Add animation, video and audio in PowerPoint to make your presentation more engaging and professional. Add transitions between slides, animate text or objects, use the Morph transition, insert a video, add audio or music, and record your screen and embed it in your presentation.","Přidejte animaci, video a zvuk v PowerPointu, aby byla vaše prezentace poutavější a profesionálnější. Přidejte přechody mezi snímky, animujte text nebo objekty, použijte přechod Morfing, vložte video, přidejte zvuk nebo hudbu a nahrajte obrazovku a vložte ji do prezentace.","/docs/learningpathways/v4/cs-cz/playlists.json;fe0408f3-0971-4415-a100-f58a5dc2a0b8;Description
"
"Share and coauthor with others in PowerPoint in real time. Work with comments, share your presentation, save a presentation as a video, inspect a presentation to remove personal and confidential information, or save a presentation as a PDF.","Sdílejte a spoluvytvářejte je s ostatními v PowerPointu v reálném čase. Pracujte s komentáři, sdílejte prezentaci, uložte prezentaci jako video, zkontrolujte prezentaci, abyste odstranili osobní a důvěrné informace, nebo uložte prezentaci jako PDF.","/docs/learningpathways/v4/cs-cz/playlists.json;ee7fc2e1-a42d-452e-ab90-e8131b08a9b1;Description
"
"Get started quickly with the Word Quick Start guide. Learn how to sign in to SharePoint, search and discover news and information, find your site, create a site, add a list or document library, use filters to modify what you see, add a page, add a web part, collaborate with others, open a document from a document library, share a document, sync files to your computer, and set up your mobile apps.","Začněte rychle s průvodcem Rychlým startem ve Wordu. Přečtěte si, jak se přihlásit ke SharePointu, vyhledávat a objevovat zprávy a informace, vyhledávat svůj web, vytvářet web, přidávat seznam nebo knihovnu dokumentů, používat filtry k úpravám toho, co vidíte, přidávat stránku, přidávat webovou část, spolupracovat s ostatními, otevírat dokument z knihovny dokumentů, sdílet dokument, synchronizovat soubory s počítačem,  a nastavte si mobilní aplikace.","/docs/learningpathways/v4/cs-cz/playlists.json;24216b89-7d0d-4263-b61e-2ecbda58f1df;Description
"
"With this intro to SharePoint Online, learn how you can use SharePoint to build intranet sites, pages, document libraries and lists, find and follow sites and news, and stay connected on mobile. Watch this video training to see how.","V tomto úvodu sharepointu Online se dozvíte, jak můžete pomocí SharePointu vytvářet intranetové weby, stránky, knihovny dokumentů a seznamy, hledat a sledovat weby a novinky a zůstat ve spojení na mobilu. Podívejte se na toto video školení a podívejte se, jak na to.","/docs/learningpathways/v4/cs-cz/playlists.json;4d722e7d-6cb1-4399-998d-6f8645f63ffa;Description
"
"Create sites, posts, and lists in SharePoint Online to connect your team or organization. Care a Team site or Communication site, explore news, activity, and documents on your site, use, filter, and update lists to keep your team on track, add or remove a news post, and create a page to communicate ideas or information to your team. Watch this video training to see how.","Vytvářejte weby, příspěvky a seznamy v SharePointu Online a propojte svůj tým nebo organizaci. Pečujte o týmový web nebo komunikační web, prozkoumejte zprávy, aktivity a dokumenty na svém webu, používejte, filtrujte a aktualizujte seznamy, abyste udrželi svůj tým na správné cestě, přidejte nebo odeberte zpravodajský příspěvek a vytvořte stránku pro sdělování nápadů nebo informací vašemu týmu. Podívejte se na toto video školení a podívejte se, jak na to.","/docs/learningpathways/v4/cs-cz/playlists.json;d542016a-fdf9-4c8e-b4ea-eed1afc7df93;Description
"
"Create, share, and SharePoint files","Vytváření, sdílení a sdílení souborů SharePointu","/docs/learningpathways/v4/cs-cz/playlists.json;6601f080-d86a-4d0c-9e60-150746bf8f96;Description
"
"Create in Sway, Add Content, Design and Share, and Learn More","Vytváření ve Swayi, přidávání obsahu, navrhování a sdílení a další informace","/docs/learningpathways/v4/cs-cz/playlists.json;63354a03-0b23-49c3-bf57-b992fdc3a00a;Description
"
"Learn how to share and access Sway. See how to share your Sway, add a password, set privacy settings, use accessibility features to make your Sway accessible, and learn Sway keyboard shortcuts.","Přečtěte si, jak sdílet Sway a přistupovat k němu. Podívejte se, jak sdílet svůj Sway, přidat heslo, nastavit nastavení ochrany osobních údajů, použít funkce usnadnění přístupu k zpřístupnění Swaye a naučit se klávesové zkratky Sway.","/docs/learningpathways/v4/cs-cz/playlists.json;9be47117-f14e-4cb6-ab52-41b59eac1178;Description
"
"Learn how to add content to Sway. Import content into Sway, search for content, add video and audio files, embed an Office file, form, or other content in Sway, add Focus Points, copy and paste cards, and use QuickStarter to create a Sway quickly.","Přečtěte si, jak přidat obsah do Swaye. Importujte obsah do Swaye, vyhledávejte obsah, přidávejte video a zvukové soubory, vložte soubor, formulář nebo jiný obsah Office do Swaye, přidejte zaostřovací body, zkopírujte a vložte karty a pomocí quickstarteru rychle vytvořte Sway.","/docs/learningpathways/v4/cs-cz/playlists.json;f23758f6-482e-4435-bd90-b815668f6305;Description
"
"Customize Sway to remove the Sway informational footer, use Administrator settings, see file size limits, and get answers to frequently asked questions and Admin help for Sway.","Přizpůsobte Swayovi odebrání informačního zápatí Sway, použijte nastavení správce, podívejte se na omezení velikosti souboru a získejte odpovědi na často kladené otázky a nápovědu správce pro Swaye.","/docs/learningpathways/v4/cs-cz/playlists.json;07e15804-1e84-4212-ac8d-a222df4e075c;Description
"
"Get started quickly with the Word Quick Start guide. Learn how to create a document, add and format text, add pictures, shapes, SmartArt, and charts, save your document to OneDrive, design and edit using styles and themes, check spelling and grammar, find and replace text, share your document, collaborate with others, track and review changes, and set up your mobile apps.","Začněte rychle s průvodcem Rychlým startem ve Wordu. Přečtěte si, jak vytvořit dokument, přidat a formátovat text, přidat obrázky, obrazce, obrázek SmartArt a grafy, uložit dokument na OneDrive, navrhnout a upravit pomocí stylů a motivů, zkontrolovat pravopis a gramatiku, najít a nahradit text, sdílet dokument, spolupracovat s ostatními, sledovat a kontrolovat změny a nastavovat mobilní aplikace.","/docs/learningpathways/v4/cs-cz/playlists.json;a958fdc7-d697-43f1-b3b3-a3f467ff94cd;Description
"
"With this intro to Word, see how to create a document and use word to review and track changes, improve your spelling, grammar, and writing with Editor, save your documents to OneDrive to get to your files from your computer, tablet, or phone, and share your work to chat, comment, and collaborate with others wherever they are.","V tomto úvodu wordu se podívejte, jak vytvořit dokument a pomocí slova zkontrolovat a sledovat změny, zlepšit pravopis, gramatiku a psaní pomocí Editoru, uložit dokumenty na OneDrive, abyste se dostali k souborům z počítače, tabletu nebo telefonu, a sdílejte svou práci při chatování, komentování a spolupráci s ostatními, ať jsou kdekoli.","/docs/learningpathways/v4/cs-cz/playlists.json;5250bdca-1dac-4242-9ec9-3badda06b5f8;Description
"
"Do your best writing in Microsoft Word. Learn how to add and edit text, find and replace text, check grammar and spelling, show word count, and insert and remove hyperlinks.","Tekejte v aplikaci Microsoft Word nejlépe. Přečtěte si, jak přidávat a upravovat text, nacházet a nahrazovat text, kontrolovat gramatiku a pravopis, zobrazovat počet slov a vkládat a odebírat hypertextové odkazy.","/docs/learningpathways/v4/cs-cz/playlists.json;f74d0622-642d-4f98-906f-2960a2c05d31;Description
"
"There are several useful options to lay out pages with Word. Learn how to change margins, create newsletter columns, change page orientation, add a border to a page, insert a header or a footer, insert page numbers, and insert a page break.","Existuje několik užitečných možností rozložení stránek pomocí aplikace Word. Přečtěte si, jak změnit okraje, vytvořit sloupce bulletinu, změnit orientaci stránky, přidat ohraničení na stránku, vložit záhlaví nebo zápatí, vložit čísla stránek a vložit konec stránky.","/docs/learningpathways/v4/cs-cz/playlists.json;2bb5f49a-da1c-49e8-b7e8-04cfc6936f25;Description
"
"Learn how to insert tables, pictures, and watermarks in Word. Create a table, add a picture, insert an icon and WordArt, show or hide the ruler, rotate a picture or shape, and wrap text around a picture.","Přečtěte si, jak ve Wordu vkládat tabulky, obrázky a vodoznaky. Vytvořte tabulku, přidejte obrázek, vložte ikonu a WordArt, zobrazte nebo skryjte pravítko, otočte obrázek nebo tvar a zalomte text kolem obrázku.","/docs/learningpathways/v4/cs-cz/playlists.json;67cb976e-6129-4bed-a769-3691cb7562d8;Description
"
"Learn how to save and print in Word. Save a file to OneDrive so you can get to it from anywhere, convert or save a Word document to a PDF, edit a PDF, print your document, print an envelope, create and print labels, or print labels for your mailing list.","Přečtěte si, jak ukládat a tisknout ve Wordu. Uložte soubor na OneDrive, abyste se k němu mohli dostat odkudkoli, převést nebo uložit wordový dokument do PDF, upravit PDF, vytisknout dokument, vytisknout obálku, vytvořit a vytisknout štítky nebo vytisknout štítky pro seznam adresátů.","/docs/learningpathways/v4/cs-cz/playlists.json;cef03778-baf8-4365-8b23-413c5edd6b66;Description
"
"Learn how to share and coauthor in Word. Share a document, collaborate with others on your Word documents, insert or delete a comment, track changes, review and accept tracked changes, and use word on a mobile device. Watch this video training to see how.","Přečtěte si, jak sdílet a spoluvytvářet ve Wordu. Sdílejte dokument, spolupracujte s ostatními na dokumentech Wordu, vložte nebo odstraňte komentář, sledujte změny, kontrolujte a přijímejte sledované změny a používání slova na mobilním zařízení. Podívejte se na toto video školení a podívejte se, jak na to.","/docs/learningpathways/v4/cs-cz/playlists.json;fb5155d7-a802-4e95-b1ce-f8baea8cb44b;Description
"
"Write an equation or formula in Word, indent a paragraph, insert lines, create a bibliography, and insert footnotes and endnotes","Napište rovnici nebo vzorec do Wordu, odsazení odstavce, vložení řádků, vytvoření bibliografie a vložení poznámek pod čarou a vysvětlivek","/docs/learningpathways/v4/cs-cz/playlists.json;26aa6ac6-24aa-43c5-ad1c-d93359ab3674;Description
"
"Learn how to improve accessibility and ease of use in Word. Use a screen reader, use Learning Tools to help with reading fluency and comprehension, use Accessibility Checker to make documents accessible, and learn keyboard shortcuts to perform tasks quickly.","Přečtěte si, jak zlepšit přístupnost a snadné použití ve Wordu. Pomocí čtečky obrazovky pomocí výukových nástrojů můžete pomoci se čtením plynulosti a porozumění, pomocí nástroje Kontrola přístupnosti zpřístupnit dokumenty a naučte se klávesové zkratky k rychlému provádění úkolů.","/docs/learningpathways/v4/cs-cz/playlists.json;4210a245-a2ae-4b6a-88a7-83ebef901aa7;Description
"
"Learn how to format text in Word. Change the font, font size, font color, copy formatting with Format Painter, create a bulleted or numbered list, change the line spacing, and apply styles and themes to visually enhance the design of your Word document.","Přečtěte si, jak formátovat text ve Wordu. Změňte písmo, velikost písma, barvu písma, zkopírujte formátování pomocí kopírovat formát kopírovat, vytvořte seznam s odrážkami nebo číslování, změňte řádkování a použijte styly a motivy, abyste vizuálně vylepšili design dokumentu aplikace Word.","/docs/learningpathways/v4/cs-cz/playlists.json;2885901b-1655-4311-a7f9-025852a659e4;Description
"
"Get started quickly with the Yammer Quick Start. Sign in to Yammer and join community conversations, find out what's trending in your organization, and set up the Yammer mobile app to use Yammer on the go.","Začněte rychle s rychlým startem Yammeru. Přihlaste se k Yammeru a připojte se ke komunitním konverzacím, zjistěte, co je ve vaší organizaci trendy, a nastavte mobilní aplikaci Yammer tak, aby používala Yammer na cestách.","/docs/learningpathways/v4/cs-cz/playlists.json;575bed47-83d8-49cb-affa-51d9497ab93b;Description
"
"Follow these tips and best practices to roll out a successful Yammer network. Get an overview of Yammer, plan your strategy, personalize a Yammer network, identify the right use cases, create a community, prepare for launch, educate users, drive ongoing engagement, integrate Yammer into Teams, SharePoint Online and Outlook, and measure success.","Podle těchto tipů a osvědčených postupů můžete zavést úspěšnou síť Yammer. Získejte přehled o Yammeru, naplánujte si strategii, přizpůsobte si síť Yammer, identifikujte správné případy použití, vytvořte komunitu, připravte se na spuštění, vzedměte uživatele, podněcujte průběžné zapojení, integrujte Yammer do Teams, SharePointu Online a Outlooku a změřte úspěch.","/docs/learningpathways/v4/cs-cz/playlists.json;19382980-771c-413e-a2af-626165fdabba;Description
"
"Learn how use Yammer every day to engage with people, leaders, and communities in your organization and share knowledge. Get an overview of Yammer, change your Yammer profile and settings, start a conversation, work with posts, attach files, discover and join communities, use notifications to stay connected, work with announcements, and learn tips and best practices to get the most out of Yammer.","Přečtěte si, jak každý den používat Yammer k tomu, abyste se spojili s lidmi, vedoucími a komunitami ve vaší organizaci a sdíleli znalosti. Získejte přehled o Yammeru, změňte svůj profil a nastavení Yammeru, začněte konverzaci, pracujte s příspěvky, připojujte soubory, objevujte komunity a připojte se k nim, pomocí oznámení zůstaňte ve spojení, pracujte s oznámeními a naučte se tipy a osvědčené postupy, jak z Yammeru vytěžit maximum.","/docs/learningpathways/v4/cs-cz/playlists.json;02f5792f-4eed-4122-91ed-348560c3fac9;Description
"
"Discover what's new/what's changed for the latest update of Microsoft 365 learning pathways","Zjistěte, co je nového/co se změnilo pro nejnovější aktualizace výukových cest Microsoftu 365","/docs/learningpathways/v4/cs-cz/playlists.json;d4df5f82-2049-4c03-aab3-50e5a2dc8ad2;Description
"
"Review Learning Pathways content and content types. Decide what works for your organization.","Přečtěte si obsah a typy obsahu studijních cest. Rozhodněte se, co funguje pro vaši organizaci.","/docs/learningpathways/v4/cs-cz/playlists.json;9a105f80-b260-44ad-ba1a-8e2ea9f5bfdc;Description
"
"Learn how to customize the Learning Pathways site, how to hide and show content, and how to build custom playlists.","Přečtěte si, jak přizpůsobit web Studijní dráhy, jak skrýt a zobrazit obsah a jak vytvořit vlastní seznamy skladeb.","/docs/learningpathways/v4/cs-cz/playlists.json;545e374b-f33e-4d62-8e6f-3ec36b6b28fe;Description
"
"Discover resources and best practices for driving adoption of Learning Pathways","Objevte zdroje a osvědčené postupy pro řízení přijetí studijních cest","/docs/learningpathways/v4/cs-cz/playlists.json;66f9b195-d48e-49e3-bb0e-1848a49b1351;Description
